Rank,Title,Previous Rank, Revenues ($M) ,Revenue Change, Profits ($M) ,Profit Change, Assets ($M) , Mkt Value as of 3/29/18 ($M) ,Employees,CEO,CEO Title,Sector,Industry,Years on Fortune 500 List,City,State, Latitude , Longitude 
12,AmerisourceBergen,11," $153,144.00 ",4%, $364.50 ,-75%," $35,317.00 "," $18,938.00 ",19500,Steven H. Collis,"Chairman, President &  Chief Executive Officer",Wholesalers,Wholesalers: Health Care,24,Chesterbrook,PA, 40.07566 , (75.45908)
13,Chevron,19," $134,533.00 ",25%," $9,195.00 ",," $253,806.00 "," $217,845.00 ",51900,Michael K. Wirth,Chairman &  Chief Executive Officer,Energy,Petroleum Refining,24,San Ramon,CA, 37.77993 , (121.97802)
14,Cardinal Health,15," $129,976.00 ",7%," $1,288.00 ",-10%," $40,112.00 "," $19,726.00 ",40400,Michael C. Kaufmann,Chairman &  Chief Executive Officer,Wholesalers,Wholesalers: Health Care,24,Dublin,OH, 40.09923 , (83.11408)
15,Costco,16," $129,025.00 ",9%," $2,679.00 ",14%," $36,347.00 "," $82,687.00 ",182000,W. Craig Jelinek,"President, Chief Executive Officer &  Director",Retailing,General Merchandisers,24,Issaquah,WA, 47.53010 , (122.03262)
16,Verizon,14," $126,034.00 ",0%," $30,101.00 ",129%," $257,143.00 "," $197,497.00 ",155400,Lowell C. McAdam,Chairman &  Chief Executive Officer,Telecommunications,Telecommunications,24,New York,NY, 40.71278 , (74.00597)
17,Kroger,18," $122,662.00 ",6%," $1,907.00 ",-3%," $37,197.00 "," $20,828.00 ",449000,W. Rodney McMullen,Chairman &  Chief Executive Officer,Food &  Drug Stores,Food and Drug Stores,24,Cincinnati,OH, 39.10312 , (84.51202)
18,General Electric,13," $122,274.00 ",-4%," $(5,786.00)",-166%," $377,945.00 "," $117,054.00 ",313000,John L. Flannery Jr.,Chairman &  Chief Executive Officer,Industrials,Industrial Machinery,24,Boston,MA, 42.36008 , (71.05888)
19,Walgreens Boots Alliance,17," $118,214.00 ",1%," $4,078.00 ",-2%," $66,009.00 "," $64,924.00 ",290000,Stefano Pessina,Vice Chairman &  Chief Executive Officer,Food &  Drug Stores,Food and Drug Stores,24,Deerfield,IL, 42.17114 , (87.84451)
20,JPMorgan Chase,21," $113,899.00 ",8%," $24,441.00 ",-1%," $2,533,600.00 "," $375,043.00 ",252539,James Dimon,Chairman &  Chief Executive Officer,Financials,Commercial Banks,24,New York,NY, 40.71278 , (74.00597)
21,Fannie Mae,20," $112,394.00 ",5%," $2,463.00 ",-80%," $3,345,529.00 "," $1,633.00 ",7200,Timothy J. Mayopoulos,"President, Chief Executive Officer &  Director",Financials,Diversified Financials,21,Leavenworth,WA, 47.75107 , (120.74014)
22,Alphabet,27," $110,855.00 ",23%," $12,662.00 ",-35%," $197,295.00 "," $719,124.00 ",80110,Larry Page,Chief Executive Officer &  Director,Technology,Internet Services and Retailing,13,Mountain View,CA, 37.38605 , (122.08385)
23,Home Depot,23," $100,904.00 ",7%," $8,630.00 ",9%," $44,529.00 "," $206,272.00 ",413000,Craig A. Menear,"Chairman, President &  Chief Executive Officer",Retailing,Specialty Retailers: Other,24,Atlanta,GA, 33.74900 , (84.38798)
24,Bank of America Corp.,26," $100,264.00 ",7%," $18,232.00 ",2%," $2,281,234.00 "," $306,618.00 ",209376,Brian T. Moynihan,"Chairman, President &  Chief Executive Officer",Financials,Commercial Banks,24,Charlotte,NC, 35.22709 , (80.84313)
25,Express Scripts Holding,22," $100,065.00 ",0%," $4,517.40 ",33%," $54,256.00 "," $38,791.00 ",26600,Timothy C. Wentworth,"President, Chief Executive Officer &  Director",Health Care,Health Care: Pharmacy and Other Services,19,St. Louis,MO, 38.62700 , (90.19940)
26,Wells Fargo,25," $97,741.00 ",4%," $22,183.00 ",1%," $1,951,757.00 "," $255,556.00 ",262700,Timothy J. Sloan,"President, Chief Executive Officer &  Director",Financials,Commercial Banks,24,SF,CA, 37.77493 , (122.41942)
27,Boeing,24," $93,392.00 ",-1%," $8,197.00 ",68%," $92,333.00 "," $192,539.00 ",140800,Dennis A. Muilenburg,"Chairman, President &  Chief Executive Officer",Aerospace &  Defense,Aerospace and Defense,24,Chicago,IL, 41.87811 , (87.62980)
28,Phillips 66,34," $91,568.00 ",27%," $5,106.00 ",228%," $54,371.00 "," $44,730.00 ",14600,Greg C. Garland,Chairman &  Chief Executive Officer,Energy,Petroleum Refining,6,Houston,TX, 29.76043 , (95.36980)
29,Anthem,29," $90,040.00 ",6%," $3,842.80 ",56%," $70,540.00 "," $56,182.00 ",56000,Gail K. Boudreaux,"President, Chief Executive Officer &  Director",Health Care,Health Care: Insurance and Managed Care,24,Indianapolis,IN, 39.76840 , (86.15807)
30,Microsoft,28," $89,950.00 ",5%," $21,204.00 ",26%," $241,086.00 "," $702,760.00 ",124000,Satya Nadella,Chief Executive Officer &  Director,Technology,Computer Software,24,Redmond,WA, 47.67399 , (122.12151)
31,Valero Energy,37," $88,407.00 ",26%," $4,065.00 ",78%," $50,158.00 "," $39,977.00 ",10015,Joseph W. Gorder,"Chairman, President &  Chief Executive Officer",Energy,Petroleum Refining,20,San Antonio,TX, 29.42412 , (98.49363)
32,Citigroup,30," $87,966.00 ",7%," $(6,798.00)",-146%," $1,842,465.00 "," $172,822.00 ",209000,Michael L. Corbat,Chairman &  Chief Executive Officer,Financials,Commercial Banks,24,New York,NY, 40.71278 , (74.00597)
33,Comcast,31," $84,526.00 ",5%," $22,714.00 ",161%," $186,949.00 "," $158,703.00 ",164000,Brian L. Roberts,"Chairman, President &  Chief Executive Officer",Telecommunications,Telecommunications,23,Philadelphia,PA, 39.95258 , (75.16522)
34,IBM,32," $79,139.00 ",-1%," $5,753.00 ",-52%," $125,356.00 "," $141,335.00 ",397800,Virginia M. Rometty,"Chairman, President &  Chief Executive Officer",Technology,Information Technology Services,24,Armonk,NY, 41.12648 , (73.71402)
35,Dell Technologies,41," $78,660.00 ",21%," $(3,728.00)",," $122,281.00 ",,145000,Michael S. Dell,Chairman &  Chief Executive Officer,Technology,"Computers, Office Equipment",21,Round Rock,TX, 30.50826 , (97.67890)
36,State Farm Insurance Cos.,33," $78,331.00 ",3%," $2,206.50 ",530%," $272,345.00 ",,65664,Michael L. Tipsord,"Chairman, President &  Chief Executive Officer",Financials,Insurance: Property and Casualty (Mutual),24,Bloomington,IL, 40.48420 , (88.99369)
37,Johnson & Johnson,35," $76,450.00 ",6%," $1,300.00 ",-92%," $157,303.00 "," $343,780.00 ",134000,Alex Gorsky,Chairman &  Chief Executive Officer,Health Care,Pharmaceuticals,24,New Brunswick,NJ, 40.48622 , (74.45182)
38,Freddie Mac,39," $74,676.00 ",14%," $5,625.00 ",-28%," $2,049,776.00 ", $878.00 ,6165,Donald H. Layton,Chairman &  Chief Executive Officer,Financials,Diversified Financials,21,McLean,VA, 38.93387 , (77.17726)
39,Target,38," $71,879.00 ",3%," $2,934.00 ",7%," $38,999.00 "," $37,409.00 ",345000,Brian C. Cornell,Chairman &  Chief Executive Officer,Retailing,General Merchandisers,24,Minneapolis,MN, 44.97775 , (93.26501)
40,Lowes,40," $68,619.00 ",6%," $3,447.00 ",11%," $35,291.00 "," $72,812.00 ",255000,Robert A. Niblock,"Chairman, President &  Chief Executive Officer",Retailing,Specialty Retailers: Other,24,Mooresville,NC, 35.58486 , (80.81007)
41,Marathon Petroleum,51," $67,610.00 ",21%," $3,432.00 ",192%," $49,047.00 "," $34,683.00 ",43800,Gary R. Heminger,Chairman &  Chief Executive Officer,Energy,Petroleum Refining,7,Findlay,OH, 41.04422 , (83.64993)
42,Procter & Gamble,36," $66,217.00 ",-8%," $15,326.00 ",46%," $120,406.00 "," $199,865.00 ",95000,David S. Taylor,"Chairman, President &  Chief Executive Officer",Household Products,Household and Personal Products,24,Cincinnati,OH, 39.10312 , (84.51202)
43,MetLife,42," $66,153.00 ",4%," $4,010.00 ",401%," $719,892.00 "," $47,572.00 ",49000,Steven A. Kandarian,"Chairman, President &  Chief Executive Officer",Financials,"Insurance: Life, Health (stock)",24,New York,NY, 40.71278 , (74.00597)
44,UPS,46," $65,872.00 ",8%," $4,910.00 ",43%," $45,403.00 "," $90,156.00 ",346415,David P. Abney,Chairman &  Chief Executive Officer,Transportation,"Mail, Package, and Freight Delivery",24,Atlanta,GA, 33.74900 , (84.38798)
45,PepsiCo,44," $63,525.00 ",1%," $4,857.00 ",-23%," $79,804.00 "," $154,933.00 ",263000,Indra K. Nooyi,Chairman &  Chief Executive Officer,"Food, Beverages &  Tobacco",Food Consumer Products,24,Harrison,NY, 41.04001 , (73.71445)
46,Intel,47," $62,761.00 ",6%," $9,601.00 ",-7%," $123,249.00 "," $243,109.00 ",102700,Robert H. Swan,Chairman &  Chief Executive Officer,Technology,Semiconductors and Other Electronic Components,24,Santa Clara,CA, 37.35411 , (121.95524)
47,DowDuPont,62," $62,683.00 ",30%," $1,460.00 ",-66%," $192,164.00 "," $148,186.00 ",98000,Edward D. Breen,Chief Executive Officer,Chemicals,Chemicals,24,Midland,Michigan, 43.62357 , (84.23211)
48,Archer Daniels Midland,45," $60,828.00 ",-2%," $1,595.00 ",25%," $39,963.00 "," $24,238.00 ",31300,Juan R. Luciano,"Chairman, President &  Chief Executive Officer","Food, Beverages &  Tobacco",Food Production,24,Chicago,IL, 41.87811 , (87.62980)
49,Aetna,43," $60,535.00 ",-4%," $1,904.00 ",-16%," $55,151.00 "," $55,229.00 ",47950,Mark T. Bertolini,Chairman &  Chief Executive Officer,Health Care,Health Care: Insurance and Managed Care,18,Hartford,CT, 41.76580 , (72.67337)
50,FedEx,58," $60,319.00 ",20%," $2,997.00 ",65%," $48,552.00 "," $64,161.00 ",357000,Frederick W. Smith,Chairman &  Chief Executive Officer,Transportation,"Mail, Package, and Freight Delivery",24,Memphis,TN, 35.14953 , (90.04898)
51,United Technologies,50," $59,837.00 ",5%," $4,552.00 ",-10%," $96,920.00 "," $100,667.00 ",204700,Gregory J. Hayes,"Chairman, President &  Chief Executive Officer",Aerospace &  Defense,Aerospace and Defense,24,Farmington,CT, 41.73603 , (72.79503)
52,Prudential Financial,48," $59,689.00 ",2%," $7,863.00 ",80%," $831,921.00 "," $43,686.00 ",49705,John R. Strangfeld,"Chairman, President &  Chief Executive Officer",Financials,"Insurance: Life, Health (stock)",24,Newark,NJ, 40.73566 , (74.17237)
53,Albertsons Cos.,49," $59,678.00 ",2%, $(373.30),," $23,755.00 ",,273000,Robert G. Miller,Chairman &  Chief Executive Officer,Food &  Drug Stores,Food and Drug Stores,14,Boise,ID, 43.61502 , (116.20231)
54,Sysco,57," $55,371.00 ",10%," $1,142.50 ",20%," $17,757.00 "," $31,294.00 ",66500,Thomas L. Ben�,"President, Chief Executive Officer &  Director",Wholesalers,Wholesalers: Food and Grocery,24,Houston,TX, 29.76043 , (95.36980)
55,Disney,52," $55,137.00 ",-1%," $8,980.00 ",-4%," $95,789.00 "," $151,029.00 ",199000,Robert A. Iger,Chairman &  Chief Executive Officer,Media,Entertainment,24,Burbank,CA, 34.18084 , (118.30897)
56,Humana,53," $53,767.00 ",-1%," $2,448.00 ",299%," $27,178.00 "," $37,122.00 ",45900,Bruce D. Broussard,"President, Chief Executive Officer &  Director",Health Care,Health Care: Insurance and Managed Care,24,Louisville,KY, 38.25266 , (85.75846)
57,Pfizer,54," $52,546.00 ",-1%," $21,308.00 ",195%," $171,797.00 "," $211,115.00 ",90200,Ian C. Read,Chairman &  Chief Executive Officer,Health Care,Pharmaceuticals,24,New York,NY, 40.71278 , (74.00597)
58,HP,61," $52,056.00 ",8%," $2,526.00 ",1%," $32,913.00 "," $35,893.00 ",49000,Dion J. Weisler,"President, Chief Executive Officer &  Director",Technology,"Computers, Office Equipment",24,Palo Alto,CA, 37.44188 , (122.14302)
59,Lockheed Martin,56," $51,048.00 ",1%," $2,002.00 ",-62%," $46,521.00 "," $96,589.00 ",100000,Marillyn A. Hewson,"Chairman, President &  Chief Executive Officer",Aerospace &  Defense,Aerospace and Defense,24,Bethesda,MD, 38.98465 , (77.09471)
60,AIG,55," $49,520.00 ",-5%," $(6,084.00)",," $498,301.00 "," $49,145.00 ",49800,Brian Duperreault,"President, Chief Executive Officer &  Director",Financials,Insurance: Property and Casualty (Stock),24,New York,NY, 40.71278 , (74.00597)
61,Centene,66," $48,572.00 ",19%, $828.00 ,47%," $21,855.00 "," $18,704.00 ",33700,Michael F. Neidorff,Chairman &  Chief Executive Officer,Health Care,Health Care: Insurance and Managed Care,9,St. Louis,MO, 38.62700 , (90.19940)
62,Cisco Systems,60," $48,005.00 ",-3%," $9,609.00 ",-11%," $129,818.00 "," $206,623.00 ",72900,Charles H. Robbins,Chairman &  Chief Executive Officer,Technology,Network and Other Communications Equipment,22,San Jose,CA, 37.33821 , (121.88633)
63,HCA Healthcare,63," $47,653.00 ",7%," $2,216.00 ",-23%," $36,593.00 "," $34,165.00 ",221491,R. Milton Johnson,Chairman &  Chief Executive Officer,Health Care,Health Care: Medical Facilities,24,Nashville,TN, 36.16266 , (86.78160)
64,Energy Transfer Equity,79," $47,487.00 ",27%, $954.00 ,-4%," $86,246.00 "," $15,335.00 ",29486,John W. McReynolds,President &  Director,Energy,Pipelines,12,Dallas,TX, 32.77666 , (96.79699)
65,Caterpillar,74," $45,462.00 ",18%, $754.00 ,," $76,962.00 "," $88,078.00 ",98400,D. James Umpleby III,Chairman &  Chief Executive Officer,Industrials,Construction and Farm Machinery,24,Deerfield,IL, 42.17114 , (87.84451)
66,Nationwide,68," $43,940.00 ",10%, $246.50 ,-26%," $221,257.00 ",,33135,Stephen S. Rasmussen,Chief Executive Officer,Financials,Insurance: Property and Casualty (Mutual),24,Columbus,OH, 39.96118 , (82.99879)
67,Morgan Stanley,76," $43,642.00 ",15%," $6,111.00 ",2%," $851,733.00 "," $96,688.00 ",57633,James P. Gorman,Chairman &  Chief Executive Officer,Financials,Commercial Banks,24,New York,NY, 40.71278 , (74.00597)
68,Liberty Mutual Insurance Group,75," $42,687.00 ",11%, $17.00 ,-98%," $142,502.00 ",,50000,David H. Long,"Chairman, President &  Chief Executive Officer",Financials,Insurance: Property and Casualty (Stock),24,Boston,MA, 42.36008 , (71.05888)
69,New York Life Insurance,65," $42,296.00 ",4%," $1,866.90 ",72%," $303,183.00 ",,11114,Theodore A. Mathas,Chairman &  Chief Executive Officer,Financials,"Insurance: Life, Health (Mutual)",24,New York,NY, 40.71278 , (74.00597)
70,Goldman Sachs Group,78," $42,254.00 ",12%," $4,286.00 ",-42%," $916,776.00 "," $95,463.00 ",36600,Lloyd C. Blankfein,Chairman &  Chief Executive Officer,Financials,Commercial Banks,19,New York,NY, 40.71278 , (74.00597)
71,American Airlines Group,67," $42,207.00 ",5%," $1,919.00 ",-28%," $51,396.00 "," $24,584.00 ",126600,W. Douglas Parker,Chairman &  Chief Executive Officer,Transportation,Airlines,24,Fort Worth,TX, 32.75549 , (97.33077)
72,Best Buy,72," $42,151.00 ",7%," $1,000.00 ",-19%," $13,049.00 "," $20,460.00 ",125000,Hubert B. Joly,Chairman &  Chief Executive Officer,Retailing,Specialty Retailers: Other,24,Richfield,MN, 44.88330 , (93.28300)
73,Cigna,70," $41,616.00 ",5%," $2,237.00 ",20%," $61,753.00 "," $40,735.00 ",46000,David M. Cordani,"President, Chief Executive Officer &  Director",Health Care,Health Care: Insurance and Managed Care,24,Bloomfield,CT, 41.82649 , (72.73009)
74,Charter Communications,96," $41,581.00 ",43%," $9,895.00 ",181%," $146,623.00 "," $80,954.00 ",94800,Thomas M. Rutledge,Chairman &  Chief Executive Officer,Telecommunications,Telecommunications,18,Stamford,CT, 41.05343 , (73.53873)
75,Delta Air Lines,71," $41,244.00 ",4%," $3,577.00 ",-18%," $53,292.00 "," $38,746.00 ",86564,Edward H. Bastian,Chairman &  Chief Executive Officer,Transportation,Airlines,24,Atlanta,GA, 33.74900 , (84.38798)
76,Facebook,98," $40,653.00 ",47%," $15,934.00 ",56%," $84,524.00 "," $464,190.00 ",25105,Mark Zuckerberg,Chairman &  Chief Executive Officer,Technology,Internet Services and Retailing,6,Menlo Park,CA, 37.45296 , (122.18173)
77,Honeywell International,73," $40,534.00 ",3%," $1,655.00 ",-66%," $59,387.00 "," $108,149.00 ",131000,Darius Adamczyk,"President, Chief Executive Officer &  Director",Industrials,"Electronics, Electrical Equip.",24,Morris Plains,NJ, 40.83959 , (74.48187)
78,Merck,69," $40,122.00 ",1%," $2,394.00 ",-39%," $87,872.00 "," $146,862.00 ",69000,Kenneth C. Frazier,"Chairman, President &  Chief Executive Officer",Health Care,Pharmaceuticals,24,Kenilworth,NJ, 40.67649 , (74.29070)
79,Allstate,84," $38,524.00 ",5%," $3,189.00 ",70%," $112,422.00 "," $33,478.00 ",42680,Thomas J. Wilson,"Chairman, President &  Chief Executive Officer",Financials,Insurance: Property and Casualty (Stock),23,Northbrook,IL, 42.12753 , (87.82895)
80,Tyson Foods,82," $38,260.00 ",4%," $1,774.00 ",0%," $28,066.00 "," $29,233.00 ",122000,Thomas P. Hayes,"President, Chief Executive Officer &  Director","Food, Beverages &  Tobacco",Food Production,24,Springdale,AR, 36.18674 , (94.12881)
81,United Continental Holdings,83," $37,736.00 ",3%," $2,131.00 ",-6%," $42,326.00 "," $19,778.00 ",89800,Oscar Munoz,Chairman &  Chief Executive Officer,Transportation,Airlines,24,Chicago,IL, 41.87811 , (87.62980)
82,Oracle,81," $37,728.00 ",2%," $9,335.00 ",5%," $134,991.00 "," $186,766.00 ",138000,Safra A. Catz/Mark V. Hurd,Co-Chief Executive Officer &  Director,Technology,Computer Software,23,Redwood City,CA, 37.48522 , (122.23635)
83,Tech Data,107," $36,775.00 ",40%, $116.60 ,-40%," $12,653.00 "," $3,249.00 ",14000,Richard T. Hume,Chairman &  Chief Executive Officer,Wholesalers,Wholesalers: Electronics and Office Equipment,24,Clearwater,FL, 27.96585 , (82.80010)
84,TIAA,80," $36,025.00 ",-3%," $1,049.70 ",-30%," $583,632.00 ",,16829,Roger W. Ferguson Jr.,"President, Chief Executive Officer &  Director",Financials,"Insurance: Life, Health (Mutual)",21,New York,NY, 40.71278 , (74.00597)
85,TJX,87," $35,865.00 ",8%," $2,607.90 ",14%," $14,058.00 "," $51,571.00 ",249000,Ernie L. Herrman,"President, Chief Executive Officer &  Director",Retailing,Specialty Retailers: Apparel,24,Framingham,MA, 42.27929 , (71.41616)
86,American Express,86," $35,583.00 ",5%," $2,736.00 ",-49%," $181,159.00 "," $80,234.00 ",55000,Stephen J. Squeri,Chairman &  Chief Executive Officer,Financials,Diversified Financials,24,New York,NY, 40.71278 , (74.00597)
87,Coca-Cola,64," $35,410.00 ",-15%," $1,248.00 ",-81%," $87,896.00 "," $185,207.00 ",61800,James R. Quincey,"President, Chief Executive Officer &  Director","Food, Beverages &  Tobacco",Beverages,24,Atlanta,GA, 33.74900 , (84.38798)
88,Publix Super Markets,85," $34,837.00 ",2%," $2,291.90 ",13%," $18,184.00 ",,193000,Randall T. Jones Sr.,"President, Chief Executive Officer &  Director",Food &  Drug Stores,Food and Drug Stores,24,Lakeland,FL, 28.03947 , (81.94980)
89,Nike,88," $34,350.00 ",6%," $4,240.00 ",13%," $23,259.00 "," $108,094.00 ",74400,Mark G. Parker,"Chairman, President &  Chief Executive Officer",Apparel,Apparel,24,Beaverton,OR, 45.48880 , (122.80133)
90,Andeavor,117," $34,204.00 ",43%," $1,528.00 ",108%," $28,573.00 "," $15,386.00 ",14300,Gregory J. Goff,"Chairman, President &  Chief Executive Officer",Energy,Petroleum Refining,19,San Antonio,TX, 29.42412 , (98.49363)
91,World Fuel Services,103," $33,696.00 ",25%, $(170.20),-235%," $5,588.00 "," $1,661.00 ",5000,Michael J. Kasbar,Chairman &  Chief Executive Officer,Energy,Energy,14,Miami,FL, 25.76168 , (80.19179)
92,Exelon,89," $33,531.00 ",7%," $3,770.00 ",233%," $116,700.00 "," $37,644.00 ",34621,Christopher M. Crane,"President, Chief Executive Officer &  Director",Energy,Utilities: Gas and Electric,24,Chicago,IL, 41.87811 , (87.62980)
93,Massachusetts Mutual Life Insurance,77," $33,495.00 ",-11%, $513.00 ,-60%," $288,855.00 ",,11811,Roger W. Crandall,"Chairman, President &  Chief Executive Officer",Financials,"Insurance: Life, Health (Mutual)",24,Springfield,MA, 42.10148 , (72.58981)
94,Rite Aid,91," $32,845.00 ",7%, $4.10 ,-98%," $11,594.00 "," $1,793.00 ",70430,John T. Standley,Chairman &  Chief Executive Officer,Food &  Drug Stores,Food and Drug Stores,24,Camp Hill,PA, 40.23981 , (76.91997)
95,ConocoPhillips,115," $32,584.00 ",34%, $(855.00),," $73,362.00 "," $69,641.00 ",11400,Ryan M. Lance,Chairman &  Chief Executive Officer,Energy,"Mining, Crude-Oil Production",24,Houston,TX, 29.76043 , (95.36980)
96,CHS,93," $31,935.00 ",5%, $127.90 ,-70%," $15,974.00 ",,11626,Jay D. Debertin,"President, Chief Executive Officer &  Director","Food, Beverages &  Tobacco",Food Production,19,Inver Grove Heights,MN, 44.84802 , (93.04272)
97,3M,94," $31,657.00 ",5%," $4,858.00 ",-4%," $37,987.00 "," $130,550.00 ",91536,Inge G. Thulin,"Chairman, President &  Chief Executive Officer",Industrials,Miscellaneous,24,St Paul,MN, 44.95370 , (93.08996)
98,Time Warner,95," $31,271.00 ",7%," $5,247.00 ",34%," $69,209.00 "," $73,758.00 ",26000,John Stankey,Chairman &  Chief Executive Officer,Media,Entertainment,19,New York,NY, 40.71278 , (74.00597)
99,General Dynamics,90," $30,973.00 ",-1%," $2,912.00 ",-2%," $35,046.00 "," $65,845.00 ",98600,Phebe N. Novakovic,Chairman &  Chief Executive Officer,Aerospace &  Defense,Aerospace and Defense,24,Falls Church,VA, 38.88233 , (77.17109)
100,USAA,102," $30,016.00 ",11%," $2,421.90 ",36%," $155,391.00 ",,32705,Stuart Parker,Chief Executive Officer,Financials,Insurance: Property and Casualty (Stock),24,San Antonio,TX, 29.42412 , (98.49363)
101,Capital One Financial,100," $29,999.00 ",9%," $1,982.00 ",-47%," $365,693.00 "," $46,584.00 ",49300,Richard D. Fairbank,"Chairman, President &  Chief Executive Officer",Financials,Commercial Banks,19,McLean,VA, 38.93387 , (77.17726)
102,Deere,105," $29,738.00 ",12%," $2,159.10 ",42%," $65,786.00 "," $50,291.00 ",60476,Samuel R. Allen,"Chairman, President &  Chief Executive Officer",Industrials,Construction and Farm Machinery,24,Moline,IL, 41.50670 , (90.51513)
103,INTL FCStone,189," $29,424.00 ",99%, $6.40 ,-88%," $6,243.00 ", $804.00 ,1607,Sean M. O'Connor,"President, Chief Executive Officer &  Director",Financials,Diversified Financials,10,New York,NY, 40.71278 , (74.00597)
104,Northwestern Mutual,97," $29,331.00 ",2%," $1,017.00 ",24%," $265,049.00 ",,5437,John E. Schlifske,Chairman &  Chief Executive Officer,Financials,"Insurance: Life, Health (Mutual)",24,Milwaukee,WI, 43.03890 , (87.90647)
105,Enterprise Products Partners,122," $29,242.00 ",27%," $2,799.30 ",11%," $54,418.00 "," $52,904.00 ",7000,A. James Teague,Chairman &  Chief Executive Officer,Energy,Pipelines,13,Houston,TX, 29.76043 , (95.36980)
106,Travelers Cos.,99," $28,902.00 ",5%," $2,056.00 ",-32%," $103,483.00 "," $37,691.00 ",30800,Alan D. Schnitzer,Chairman &  Chief Executive Officer,Financials,Insurance: Property and Casualty (Stock),24,New York,NY, 40.71278 , (74.00597)
107,Hewlett Packard Enterprise,59," $28,871.00 ",-42%, $344.00 ,-89%," $61,406.00 "," $27,243.00 ",66000,Antonio Neri,"President, Chief Executive Officer &  Director",Technology,"Computers, Office Equipment",2,Palo Alto,CA, 37.44188 , (122.14302)
108,Philip Morris International,104," $28,748.00 ",8%," $6,035.00 ",-13%," $42,968.00 "," $154,514.00 ",80600,Andr� Calantzopoulos,Chairman &  Chief Executive Officer,"Food, Beverages &  Tobacco",Tobacco,10,New York,NY, 40.71278 , (74.00597)
109,Twenty-First Century Fox,101," $28,500.00 ",4%," $2,952.00 ",7%," $50,724.00 "," $67,969.00 ",21700,James R. Murdoch,Chief Executive Officer &  Director,Media,Entertainment,14,New York,NY, 40.71278 , (74.00597)
110,AbbVie,111," $28,216.00 ",10%," $5,309.00 ",-11%," $70,786.00 "," $150,180.00 ",29000,Richard A. Gonzalez,Chairman &  Chief Executive Officer,Health Care,Pharmaceuticals,5,North Chicago,IL, 42.32558 , (87.84118)
111,Abbott Laboratories,135," $27,390.00 ",31%, $477.00 ,-66%," $76,250.00 "," $104,640.00 ",99000,Miles D. White,Chairman &  Chief Executive Officer,Health Care,Medical Products and Equipment,24,Lake Bluff,IL, 42.30451 , (87.89607)
